month,trades,wins,gross_pnl,avg_pnl,win_rate
2010-11,5,3,1302.13,260.43,60.0
2010-12,12,5,-171.15,-14.26,41.7
2011-01,9,4,2503.77,278.2,44.4
2011-02,8,5,1323.39,165.42,62.5
2011-03,9,2,-1402.84,-155.87,22.2
2011-04,7,3,1506.28,215.18,42.9
2011-05,11,6,2277.69,207.06,54.5
2011-06,9,4,1380.36,153.37,44.4
2011-07,10,4,3071.09,307.11,40.0
2011-08,9,2,-979.7,-108.86,22.2
2011-09,6,3,1216.25,202.71,50.0
2011-10,8,3,-631.56,-78.94,37.5
2011-11,7,2,-584.74,-83.53,28.6
2011-12,10,4,638.0,63.8,40.0
2012-01,14,4,-1565.84,-111.85,28.6
2012-02,11,4,-701.57,-63.78,36.4
2012-03,9,5,1838.1,204.23,55.6
2012-04,8,1,-863.58,-107.95,12.5
2012-05,12,6,1098.9,91.58,50.0
2012-06,8,5,4174.93,521.87,62.5
2012-07,10,3,-570.69,-57.07,30.0
2012-08,10,6,2464.27,246.43,60.0
2012-09,8,2,-713.66,-89.21,25.0
2012-10,9,1,-2060.11,-228.9,11.1
2012-11,8,5,2318.48,289.81,62.5
2012-12,6,2,67.03,11.17,33.3
2013-01,12,8,1952.21,162.68,66.7
2013-02,10,5,3114.81,311.48,50.0
2013-03,8,3,824.45,103.06,37.5
2013-04,11,4,474.11,43.1,36.4
2013-05,14,7,-645.94,-46.14,50.0
2013-06,9,5,2490.2,276.69,55.6
2013-07,7,5,2721.77,388.82,71.4
2013-08,6,3,150.45,25.08,50.0
2013-09,8,1,-1147.91,-143.49,12.5
2013-10,15,4,-1983.8,-132.25,26.7
2013-11,9,4,317.47,35.27,44.4
2013-12,8,3,-902.94,-112.87,37.5
2014-01,9,3,-244.35,-27.15,33.3
2014-02,13,6,1179.7,90.75,46.2
2014-03,9,6,2100.56,233.4,66.7
2014-04,7,3,1910.09,272.87,42.9
2014-05,9,6,2363.18,262.58,66.7
2014-06,8,4,1176.81,147.1,50.0
2014-07,8,3,-545.75,-68.22,37.5
2014-08,9,2,-898.61,-99.85,22.2
2014-09,7,5,1136.39,162.34,71.4
2014-10,9,6,4179.57,464.4,66.7
2014-11,12,2,-1463.84,-121.99,16.7
2014-12,9,3,-376.97,-41.89,33.3
2015-01,9,4,458.27,50.92,44.4
2015-02,6,5,1313.86,218.98,83.3
2015-03,11,4,525.49,47.77,36.4
2015-04,8,4,677.57,84.7,50.0
2015-05,7,3,2174.07,310.58,42.9
2015-06,6,2,609.83,101.64,33.3
2015-07,9,2,-971.06,-107.9,22.2
2015-08,9,6,4545.82,505.09,66.7
2015-09,8,5,3471.57,433.95,62.5
2015-10,8,4,207.37,25.92,50.0
2015-11,12,6,1393.3,116.11,50.0
2015-12,9,6,2330.74,258.97,66.7
2016-01,7,4,3357.44,479.63,57.1
2016-02,9,6,1750.85,194.54,66.7
2016-03,9,6,1224.68,136.08,66.7
2016-04,7,3,273.71,39.1,42.9
2016-05,7,5,2083.9,297.7,71.4
2016-06,9,5,3001.23,333.47,55.6
2016-07,11,1,-2162.59,-196.6,9.1
2016-08,10,6,1726.13,172.61,60.0
2016-09,5,2,-584.31,-116.86,40.0
2016-10,10,4,-497.47,-49.75,40.0
2016-11,9,2,-773.7,-85.97,22.2
2016-12,8,2,753.28,94.16,25.0
2017-01,8,5,2011.43,251.43,62.5
2017-02,7,2,-696.44,-99.49,28.6
2017-03,8,3,2920.08,365.01,37.5
2017-04,7,5,2603.0,371.86,71.4
2017-05,9,2,-1156.18,-128.46,22.2
2017-06,6,2,-326.31,-54.38,33.3
2017-07,8,3,-929.31,-116.16,37.5
2017-08,6,3,434.16,72.36,50.0
2017-09,7,2,-524.93,-74.99,28.6
2017-10,10,6,2083.97,208.4,60.0
2017-11,9,4,2557.53,284.17,44.4
2017-12,7,1,-62.58,-8.94,14.3
2018-01,9,4,-251.57,-27.95,44.4
2018-02,5,1,542.85,108.57,20.0
2018-03,8,5,797.85,99.73,62.5
2018-04,9,2,-221.53,-24.61,22.2
2018-05,7,2,-616.87,-88.12,28.6
2018-06,8,4,1008.16,126.02,50.0
2018-07,5,2,-69.05,-13.81,40.0
2018-08,9,6,4808.02,534.22,66.7
2018-09,8,2,-749.83,-93.73,25.0
2018-10,7,5,2050.85,292.98,71.4
2018-11,10,3,-681.45,-68.15,30.0
2018-12,6,0,-1143.06,-190.51,0.0
2019-01,8,5,3003.17,375.4,62.5
2019-02,7,4,766.98,109.57,57.1
2019-03,9,4,140.28,15.59,44.4
2019-04,9,4,768.86,85.43,44.4
2019-05,9,2,-179.51,-19.95,22.2
2019-06,6,0,-1060.83,-176.8,0.0
2019-07,9,3,47.83,5.31,33.3
2019-08,11,6,1001.0,91.0,54.5
2019-09,8,1,-1500.12,-187.52,12.5
2019-10,12,4,490.37,40.86,33.3
2019-11,7,3,431.85,61.69,42.9
2019-12,10,3,119.55,11.96,30.0
2020-01,9,2,-665.11,-73.9,22.2
2020-02,7,0,-1423.0,-203.29,0.0
2020-03,10,4,173.7,17.37,40.0
2020-04,10,3,384.18,38.42,30.0
2020-05,12,6,4634.74,386.23,50.0
2020-06,12,5,1475.46,122.96,41.7
2020-07,10,3,-1020.26,-102.03,30.0
2020-08,6,2,718.84,119.81,33.3
2020-09,10,6,1365.79,136.58,60.0
2020-10,13,6,-43.25,-3.33,46.2
2020-11,6,4,1840.74,306.79,66.7
2020-12,8,2,-987.15,-123.39,25.0
2021-01,7,3,411.34,58.76,42.9
2021-02,7,3,3075.04,439.29,42.9
2021-03,13,6,859.42,66.11,46.2
2021-04,8,4,1501.1,187.64,50.0
2021-05,7,2,832.55,118.94,28.6
2021-06,3,0,-636.29,-212.1,0.0
2021-07,7,6,5478.97,782.71,85.7
2021-08,8,3,565.48,70.68,37.5
2021-09,6,3,1409.81,234.97,50.0
2021-10,11,6,2710.02,246.37,54.5
2021-11,10,6,3917.04,391.7,60.0
2021-12,10,3,2002.31,200.23,30.0
2022-01,9,5,1688.65,187.63,55.6
2022-02,8,6,3216.72,402.09,75.0
2022-03,7,2,219.29,31.33,28.6
2022-04,8,3,-458.56,-57.32,37.5
2022-05,11,3,775.65,70.51,27.3
2022-06,8,4,-276.85,-34.61,50.0
2022-07,3,1,8.95,2.98,33.3
2022-08,8,5,2001.72,250.22,62.5
2022-09,8,5,1768.18,221.02,62.5
2022-10,7,4,2023.7,289.1,57.1
2022-11,6,3,1011.5,168.58,50.0
2022-12,10,7,4340.0,434.0,70.0
2023-01,9,6,2275.0,252.78,66.7
2023-02,6,2,361.34,60.22,33.3
2023-03,2,1,-104.75,-52.37,50.0
2023-04,3,2,326.15,108.72,66.7
2023-05,3,1,-153.77,-51.26,33.3
2023-06,8,4,1050.89,131.36,50.0
2023-07,4,4,1432.02,358.0,100.0
2023-08,13,5,2347.84,180.6,38.5
2023-09,10,6,2820.26,282.03,60.0
2023-10,4,4,825.6,206.4,100.0
2023-11,11,6,1053.29,95.75,54.5
2023-12,7,4,-47.79,-6.83,57.1
2024-01,8,4,1441.47,180.18,50.0
2024-02,13,9,3400.46,261.57,69.2
2024-03,7,5,1947.08,278.15,71.4
2024-04,11,7,3338.35,303.49,63.6
2024-05,12,8,2962.06,246.84,66.7
2024-06,12,6,4824.32,402.03,50.0
2024-07,5,1,744.35,148.87,20.0
2024-08,11,3,-447.94,-40.72,27.3
2024-09,7,3,-70.13,-10.02,42.9
2024-10,7,3,38.48,5.5,42.9
2024-11,7,3,1255.26,179.32,42.9
2024-12,8,2,-647.34,-80.92,25.0
2025-01,7,4,213.83,30.55,57.1
2025-02,8,3,442.94,55.37,37.5
2025-03,7,4,4104.83,586.4,57.1
2025-04,11,3,2773.83,252.17,27.3
2025-05,12,5,152.98,12.75,41.7
2025-06,6,4,609.5,101.58,66.7
2025-07,10,4,610.58,61.06,40.0
2025-08,8,5,2568.32,321.04,62.5
2025-09,10,3,531.01,53.1,30.0
2025-10,6,3,1357.79,226.3,50.0
2025-11,4,2,934.69,233.67,50.0
2025-12,5,1,-703.85,-140.77,20.0
2026-01,11,5,2771.73,251.98,45.5
2026-02,13,5,1895.83,145.83,38.5
2026-03,5,1,-143.67,-28.73,20.0
